# RA-3 physics log
   0,00  === INIT === addrs: kontr=91D5B05 loc_ptr=74AEA0 rev_ptr=74B28C spd_ptr=74B41C
   0,00  === PHYSICS ON ===
   0,00  === WRITE TO LOC36 ENABLED ===
   0,00  === RA3 BOOSTER ON === scale=0,0080 limit=120
  20,66  k=  0 v=   0,00 rev=  0 | rpm= 800,0 Mo=      0,0 F=       0,0 | silat before=       0,0 want=       0,0 after=       0,0 | y_gt=0,000 y_gm=0,000 y_gb=0,000 gt_mode=F write=T | F_adh= 138321,0 slip=F sand=F
  20,77  k=  0 v=   0,00 rev=  0 | rpm= 800,0 Mo=      0,0 F=       0,0 | silat before=       0,0 want=       0,0 after=       0,0 | y_gt=0,000 y_gm=0,000 y_gb=0,000 gt_mode=F write=T | F_adh= 138321,0 slip=F sand=F
  20,88  k=  0 v=   0,00 rev=  0 | rpm= 800,0 Mo=      0,0 F=       0,0 | silat before=       0,0 want=       0,0 after=       0,0 | y_gt=0,000 y_gm=0,000 y_gb=0,000 gt_mode=F write=T | F_adh= 138321,0 slip=F sand=F
  20,98  k=  0 v=   0,00 rev=  0 | rpm= 800,0 Mo=      0,0 F=       0,0 | silat before=       0,0 want=       0,0 after=       0,0 | y_gt=0,000 y_gm=0,000 y_gb=0,000 gt_mode=F write=T | F_adh= 138321,0 slip=F sand=F
  21,09  k=  0 v=   0,00 rev=  0 | rpm= 800,0 Mo=      0,0 F=       0,0 | silat before=       0,0 want=       0,0 after=       0,0 | y_gt=0,000 y_gm=0,000 y_gb=0,000 gt_mode=F write=T | F_adh= 138321,0 slip=F sand=F
  21,20  k=  0 v=   0,00 rev=  0 | rpm= 800,0 Mo=      0,0 F=       0,0 | silat before=       0,0 want=       0,0 after=       0,0 | y_gt=0,000 y_gm=0,000 y_gb=0,000 gt_mode=F write=T | F_adh= 138321,0 slip=F sand=F
  21,38  k=  0 v=   0,00 rev=  0 | rpm= 800,0 Mo=      0,0 F=       0,0 | silat before=       0,0 want=       0,0 after=       0,0 | y_gt=0,000 y_gm=0,000 y_gb=0,000 gt_mode=F write=T | F_adh= 138321,0 slip=F sand=F
  21,48  k=  0 v=   0,00 rev=  0 | rpm= 800,0 Mo=      0,0 F=       0,0 | silat before=       0,0 want=       0,0 after=       0,0 | y_gt=0,000 y_gm=0,000 y_gb=0,000 gt_mode=F write=T | F_adh= 138321,0 slip=F sand=F
  21,59  k=  0 v=   0,00 rev=  0 | rpm= 800,0 Mo=      0,0 F=       0,0 | silat before=       0,0 want=       0,0 after=       0,0 | y_gt=0,000 y_gm=0,000 y_gb=0,000 gt_mode=F write=T | F_adh= 138321,0 slip=F sand=F
  21,70  k=  0 v=   0,00 rev=  0 | rpm= 800,0 Mo=      0,0 F=       0,0 | silat before=       0,0 want=       0,0 after=       0,0 | y_gt=0,000 y_gm=0,000 y_gb=0,000 gt_mode=F write=T | F_adh= 138321,0 slip=F sand=F
