# time, kontroller, speed_kph, revers, loc36_raw, loc36_hex
# base=0x00400000
  13.84, k=241, v=28242.15, rev=  3, loc36=  +0.0000, hex=00000000
  13.94, k=241, v=28254.47, rev=  3, loc36=  +0.0000, hex=00000000
  14.04, k=241, v=28266.21, rev=  3, loc36=  +0.0000, hex=00000000
  14.14, k=241, v=28266.21, rev=  3, loc36=  +0.0000, hex=00000000
  14.24, k=241, v=28288.09, rev=  3, loc36=  +0.0000, hex=00000000
  14.34, k=241, v=28298.28, rev=  3, loc36=  +0.0000, hex=00000000
  14.44, k=241, v=28307.98, rev=  3, loc36=  +0.0000, hex=00000000
  14.54, k=241, v=28317.24, rev=  3, loc36=  +0.0000, hex=00000000
  14.64, k=241, v=28326.07, rev=  3, loc36=  +0.0000, hex=00000000
  14.74, k=241, v=28336.53, rev=  3, loc36=  +0.0000, hex=00000000
  14.85, k=241, v=28342.51, rev=  3, loc36=  +0.0000, hex=00000000
  14.95, k=241, v=28348.29, rev=  3, loc36=  +0.0000, hex=00000000
  15.05, k=241, v=28357.46, rev=  3, loc36=  +0.0000, hex=00000000
  15.15, k=241, v=28364.42, rev=  3, loc36=  +0.0000, hex=00000000
  15.25, k=241, v=28371.05, rev=  3, loc36=  +0.0000, hex=00000000
  15.35, k=241, v=28377.37, rev=  3, loc36=  +0.0000, hex=00000000
  15.46, k=241, v=28383.40, rev=  3, loc36=  +0.0000, hex=00000000
  15.56, k=241, v=28389.15, rev=  3, loc36=  +0.0000, hex=00000000
  15.66, k=241, v=28393.28, rev=  3, loc36=  +0.0000, hex=00000000
  15.77, k=241, v=28399.85, rev=  3, loc36=  +0.0000, hex=00000000
  15.87, k=241, v=28404.83, rev=  3, loc36=  +0.0000, hex=00000000
  15.97, k=241, v=28408.42, rev=  3, loc36=  +0.0000, hex=00000000
  16.07, k=241, v=28414.11, rev=  3, loc36=  +0.0000, hex=00000000
  16.18, k=241, v=28418.42, rev=  3, loc36=  +0.0000, hex=00000000
  16.28, k=241, v=28422.54, rev=  3, loc36=  +0.0000, hex=00000000
  16.38, k=241, v=27597.19, rev=  3, loc36=  +0.0000, hex=00000000
  16.48, k=241, v=27124.63, rev=  3, loc36=  +0.0000, hex=00000000
  16.58, k=241, v=26519.21, rev=  3, loc36=  +0.0000, hex=00000000
  16.68, k=241, v=25940.25, rev=  3, loc36=  +0.0000, hex=00000000
  16.78, k=241, v=25522.38, rev=  3, loc36=  +0.0000, hex=00000000
  16.88, k=241, v=24725.82, rev=  3, loc36=  +0.0000, hex=00000000
  16.98, k=241, v=24345.91, rev=  3, loc36=  +0.0000, hex=00000000
  17.09, k=241, v=23857.19, rev=  3, loc36=  +0.0000, hex=00000000
  17.19, k=241, v=23387.72, rev=  3, loc36=  +0.0000, hex=00000000
  17.29, k=241, v=22936.38, rev=  3, loc36=  +0.0000, hex=00000000
  17.39, k=241, v=22502.15, rev=  3, loc36=  +0.0000, hex=00000000
  17.49, k=241, v=22084.07, rev=  3, loc36=  +0.0000, hex=00000000
  17.59, k=241, v=21780.57, rev=  3, loc36=  +0.0000, hex=00000000
  17.69, k=241, v=21292.87, rev=  3, loc36=  +0.0000, hex=00000000
  17.80, k=241, v=20918.16, rev=  3, loc36=  +0.0000, hex=00000000
  17.90, k=241, v=20556.42, rev=  3, loc36=  +0.0000, hex=00000000
  18.00, k=241, v=20206.99, rev=  3, loc36=  +0.0000, hex=00000000
  18.10, k=241, v=19869.23, rev=  3, loc36=  +0.0000, hex=00000000
  18.20, k=241, v=19542.59, rev=  3, loc36=  +0.0000, hex=00000000
  18.30, k=241, v=19304.57, rev=  3, loc36=  +0.0000, hex=00000000
  18.40, k=242, v=18920.50, rev=  3, loc36=  +0.0000, hex=00000000
  18.50, k=242, v=18624.07, rev=  3, loc36=  +0.0000, hex=00000000
  18.60, k=242, v=18336.79, rev=  3, loc36=  +0.0000, hex=00000000
  18.71, k=243, v=18058.23, rev=  3, loc36=  +0.0000, hex=00000000
  18.81, k=243, v=17854.80, rev=  3, loc36=  +0.0000, hex=00000000
  18.91, k=243, v=17525.75, rev=  3, loc36=  +0.0000, hex=00000000
  19.01, k=243, v=17271.11, rev=  3, loc36=  +0.0000, hex=00000000
  19.11, k=238, v=17023.76, rev=  3, loc36=  +0.0000, hex=00000000
  19.21, k=238, v=16783.40, rev=  3, loc36=  +0.0000, hex=00000000
  19.31, k=238, v=16549.72, rev=  3, loc36=  +0.0000, hex=00000000
  19.42, k=238, v=16322.46, rev=  3, loc36=  +0.0000, hex=00000000
  19.52, k=238, v=15886.14, rev=  3, loc36=  +0.0000, hex=00000000
  19.62, k=238, v=15886.14, rev=  3, loc36=  +0.0000, hex=00000000
  19.72, k=237, v=15472.52, rev=  3, loc36=  +0.0000, hex=00000000
  19.82, k=237, v=15322.91, rev=  3, loc36=  +0.0000, hex=00000000
  19.92, k=237, v=15079.88, rev=  3, loc36=  +0.0000, hex=00000000
  20.03, k=237, v=15079.88, rev=  3, loc36=  +0.0000, hex=00000000
  20.13, k=237, v=15079.88, rev=  3, loc36=  +0.0000, hex=00000000
  20.23, k=237, v=15079.88, rev=  3, loc36=  +0.0000, hex=00000000
  20.33, k=237, v=15079.88, rev=  3, loc36=  +0.0000, hex=00000000
  20.43, k=237, v=15079.88, rev=  3, loc36=  +0.0000, hex=00000000
  20.53, k=237, v=15079.88, rev=  3, loc36=  +0.0000, hex=00000000
  20.63, k=237, v=15079.88, rev=  3, loc36=  +0.0000, hex=00000000
  20.73, k=237, v=15079.88, rev=  3, loc36=  +0.0000, hex=00000000
  20.83, k=237, v=15079.88, rev=  3, loc36=  +0.0000, hex=00000000
  20.93, k=237, v=15079.88, rev=  3, loc36=  +0.0000, hex=00000000
